# This file was produced by samtools stats (1.23+htslib-1.23) and can be plotted using plot-bamstats
# This file contains statistics for all reads.
# The command line was:  stats data/SAS/STU/HG03672/aligned/HG03672.bam
# CHK, Checksum	[2]Read Names	[3]Sequences	[4]Qualities
# CHK, CRC32 of reads which passed filtering followed by addition (32bit overflow)
CHK	4990740d	6aac8e86	0e613c02
# Summary Numbers. Use `grep ^SN | cut -f 2-` to extract this part.
SN	raw total sequences:	55015578	# excluding supplementary and secondary reads
SN	filtered sequences:	0
SN	sequences:	55015578
SN	is sorted:	1	# sorted by coordinate
SN	1st fragments:	27507789
SN	last fragments:	27507789
SN	reads mapped:	55013631
SN	reads mapped and paired:	55012548	# paired-end technology bit set + both mates mapped
SN	reads unmapped:	1947
SN	reads properly paired:	54788232	# proper-pair bit set
SN	reads paired:	55015578	# paired-end technology bit set
SN	reads duplicated:	0	# PCR or optical duplicate bit set
SN	reads MQ0:	4826411	# mapped and MQ=0
SN	reads QC failed:	0
SN	non-primary alignments:	0
SN	supplementary alignments:	48965
SN	total length:	5497468490	# ignores clipping
SN	total first fragment length:	2748734245	# ignores clipping
SN	total last fragment length:	2748734245	# ignores clipping
SN	bases mapped:	5497279339	# ignores clipping
SN	bases mapped (cigar):	5489230371	# more accurate
SN	bases trimmed:	0
SN	bases duplicated:	0
SN	mismatches:	18649228	# from NM fields
SN	error rate:	3.397421e-03	# mismatches / bases mapped (cigar)
SN	average length:	100
SN	average first fragment length:	100
SN	average last fragment length:	100
SN	maximum length:	100
SN	maximum first fragment length:	100
SN	maximum last fragment length:	100
SN	average quality:	35.5
SN	insert size average:	221.0
SN	insert size standard deviation:	69.4
SN	inward oriented pairs:	27417583
SN	outward oriented pairs:	5517
SN	pairs with other orientation:	4898
SN	pairs on different chromosomes:	78276
SN	percentage of properly paired reads (%):	99.6
# First Fragment Qualities. Use `grep ^FFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
FFQ	56	0	0	344	0	0	3982	15246	43652	55654	30810	3395	6492	12075	34082	26068	24425	8990	19638	55347	42161	53625	38046	75672	138899	100514	82004	214808	158239	272233	223884	333756	530053	407193	823585	1029389	1691384	1254823	1583020	2508003	2670179	5054174	7866508	0
FFQ	57	0	0	297	0	0	4434	15385	44979	57715	26696	3843	7320	12667	36924	26413	22645	9150	20669	58101	41981	58188	39992	82806	144705	95228	84418	227835	158398	292842	234940	331070	553123	431594	829876	1097724	1768192	1309359	1629348	2488010	2702392	4943511	7599144	0
FFQ	58	0	0	349	0	0	4822	16501	49002	63822	24581	4180	8102	13005	39345	27080	20826	9063	21834	61837	41990	62425	41496	88472	148317	90447	87807	241638	158888	309935	247871	328689	577590	451755	836419	1164685	1852258	1363465	1673226	2460321	2740431	4828021	7330985	0
FFQ	59	0	0	415	0	0	5495	17297	52558	69827	21758	4592	8905	14018	43461	26034	20024	9593	22270	67828	42431	60895	40577	106467	139357	81657	88163	278875	160293	329155	261370	330320	604158	476328	846753	1233735	1943823	1420892	1719316	2428988	2736453	4700783	7076179	0
FFQ	60	0	0	1301	0	0	5879	17338	53998	71194	17130	5281	9959	14621	46669	25534	18732	9579	23214	71573	42363	65605	42427	115154	141770	78546	91954	296951	160091	348332	276578	334162	630640	501734	859945	1312187	2044690	1485944	1766260	2396147	2776752	4562824	6767556	0
FFQ	61	0	0	4757	0	0	6355	18444	59263	78212	15127	5583	10889	15384	48430	25061	17746	10075	24633	76986	42443	69398	44753	123581	141865	75139	97359	314995	161023	362795	294156	339414	659638	528971	870792	1387177	2151178	1552762	1812177	2361743	2815013	4414202	6452709	0
FFQ	62	0	0	15971	0	0	6691	18847	63315	82002	12158	6287	12110	15533	52852	25174	17768	10203	25887	82490	42605	75714	46613	133763	142821	74051	101834	335205	162385	379545	309204	349937	689145	556278	883831	1466673	2266405	1617728	1862573	2315933	2860680	4248238	6121349	0
FFQ	63	0	0	23610	0	0	7366	18347	65331	82809	8851	6932	13438	17197	53789	23705	17652	10334	26795	86590	41051	80339	48476	141137	141043	71801	106605	352489	162891	390645	326249	361828	717026	582294	897116	1545642	2393613	1688335	1912971	2263932	2902407	4085801	5812899	0
FFQ	64	0	0	38112	0	0	8055	18664	68433	84710	6556	7702	14082	16951	54226	22478	17509	10580	27697	92110	40133	85457	50289	149878	137299	71049	112363	370599	163827	395678	343940	374406	744427	612416	913004	1630239	2530143	1764290	1964195	2205508	2936697	3914191	5490979	0
FFQ	65	0	0	48833	0	0	8781	19614	74710	90018	4835	8288	15370	17698	56738	21910	15655	12897	29350	83976	53237	90544	52146	144601	148076	71642	119419	383597	140356	400179	392214	391523	771406	640746	929331	1714134	2677952	1836457	2015919	2141584	2973322	3726746	5164633	0
FFQ	66	0	0	52762	0	0	9398	19729	79046	92234	3389	9531	18680	22493	58268	20732	16117	13043	30030	87938	53477	96373	54055	151419	145436	72374	125365	401804	141400	400463	412750	411112	794929	671246	950148	1795954	2839789	1911908	2074471	2064724	3013327	3533038	4839027	0
FFQ	67	0	0	65910	0	0	9897	18846	80504	87630	1958	10329	19450	20734	58622	20119	16992	13318	31727	91943	52440	103296	55841	157277	142524	74005	131723	418268	141128	400933	435950	434040	818710	699151	972698	1880534	3011593	1989398	2132754	1979114	3053235	3329840	4524628	0
FFQ	68	0	0	81524	0	0	10505	18342	83747	86877	1106	10498	18127	17285	56155	18294	17879	13650	32852	96865	51954	107701	56670	162311	138508	76310	138355	436940	142751	395344	458437	459258	841133	729271	1000816	1970900	3193087	2067010	2194866	1892995	3084226	3123008	4200980	0
FFQ	69	0	0	98372	0	0	11368	18793	90166	87513	571	11085	18233	16641	55919	17508	18830	14237	34286	101661	52087	112024	57760	166776	135913	78718	146979	455145	145344	389542	485141	484560	862527	762320	1032006	2065296	3379642	2145840	2257304	1800728	3101158	2907632	3866481	0
FFQ	70	0	0	116787	0	0	12264	18711	95309	86916	333	11946	19286	16962	55758	16683	19708	14960	35662	106685	52280	117937	59768	150234	113762	123902	155104	471303	148767	380722	509960	513135	885644	791583	1066956	2160214	3577048	2227231	2317650	1703220	3113122	2688948	3529157	0
FFQ	71	0	0	136228	0	0	13100	18876	100946	86125	157	13298	20467	17563	55654	15925	21432	14999	37598	113149	51785	125357	61664	151393	112757	130126	164969	490036	153192	373865	537308	540176	905449	823504	1104109	2264819	3776521	2305399	2379047	1601306	3110436	2459044	3197338	0
