Sample	Overlapped regulatory features	Overlapped transcripts	Overlapped genes	Existing variants	Novel variants	Variants filtered out	Variants processed	Lines of input read
SAS_UGT2B7	5	15	4	194	30	0	224	224
SAS_VKORC1	1	15	4	10	4	0	14	14
STU_CALU	0	26	2	1	1	0	2	2
STU_CYP2C9	0	23	3	4	1	0	5	5
STU_CYP4F2	0	26	3	12	2	0	14	14
STU_DRD2	0	15	3	15	2	0	17	17
STU_GGCX	0	40	2	5	0	0	5	5
STU_OPRM1	1	45	4	26	7	0	33	33
STU_UGT2B7	2	13	2	29	2	0	31	31
STU_VKORC1	0	15	4	1	0	0	1	1
TSI_CALU	3	27	3	25	13	0	38	38
TSI_CYP2C9	0	23	3	31	20	0	51	51
TSI_CYP2D6	0	50	3	2	0	0	2	2
TSI_CYP4F2	0	27	4	36	15	0	51	51
TSI_DRD2	5	15	3	84	31	0	115	115
TSI_GGCX	1	52	3	18	11	0	29	29
TSI_OPRM1	9	49	5	143	88	0	231	231
TSI_UGT2B7	4	15	4	118	19	0	137	137
TSI_VKORC1	1	15	4	7	3	0	10	10
YRI_CALU	3	27	3	31	28	0	59	59
YRI_CYP2C9	0	23	3	86	18	0	104	104
YRI_CYP4F2	0	27	4	121	9	0	130	130
YRI_DRD2	8	15	3	126	47	0	173	173
YRI_GGCX	2	52	3	37	10	0	47	47
YRI_OPRM1	9	49	5	450	130	0	580	580
YRI_UGT2B7	5	15	4	285	29	0	314	314
YRI_VKORC1	2	15	4	7	6	0	13	13
