Sample	00-10%	10-20%	20-30%	30-40%	40-50%	50-60%	60-70%	70-80%	80-90%	90-100%
BEB_DRD2	0.0	0.0	0.0	0.0	0.0	0.0	1.0	15.0	0.0	0.0
BEB_GGCX	2.0	3.0	3.0	10.0	12.0	10.0	2.0	1.0	1.0	2.0
BEB_OPRM1	21.0	4.0	4.0	0.0	1.0	1.0	0.0	0.0	0.0	4.0
BEB_UGT2B7	0.0	3.0	2.0	0.0	14.0	3.0	13.0	4.0	1.0	2.0
CDX_CALU	24.0	0.0	10.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
CDX_DRD2	0.0	0.0	0.0	0.0	0.0	0.0	1.0	7.0	0.0	0.0
CDX_GGCX	2.0	3.0	5.0	13.0	14.0	23.0	2.0	1.0	2.0	4.0
CDX_OPRM1	15.0	6.0	16.0	11.0	2.0	1.0	6.0	11.0	0.0	4.0
CDX_UGT2B7	0.0	8.0	8.0	2.0	8.0	3.0	6.0	3.0	1.0	1.0
CEU_CALU	24.0	0.0	10.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
CEU_CYP2C9	0.0	0.0	9.0	5.0	1.0	1.0	2.0	14.0	1.0	17.0
CEU_CYP4F2	38.0	30.0	0.0	1.0	0.0	1.0	1.0	2.0	20.0	46.0
CEU_DRD2	0.0	0.0	0.0	8.0	0.0	0.0	2.0	23.0	0.0	0.0
CEU_GGCX	2.0	3.0	5.0	13.0	14.0	23.0	2.0	1.0	2.0	4.0
CEU_OPRM1	13.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	5.0
CEU_UGT2B7	0.0	2.0	7.0	2.0	8.0	3.0	6.0	3.0	1.0	1.0
CHB_CALU	24.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CHB_CYP2C9	0.0	0.0	0.0	0.0	0.0	0.0	2.0	14.0	0.0	17.0
CHB_CYP4F2	15.0	3.0	0.0	1.0	1.0	3.0	13.0	3.0	20.0	29.0
CHB_DRD2	0.0	0.0	0.0	0.0	0.0	0.0	1.0	7.0	0.0	0.0
CHB_GGCX	2.0	3.0	3.0	10.0	12.0	10.0	2.0	1.0	1.0	2.0
CHB_OPRM1	7.0	7.0	4.0	11.0	4.0	6.0	10.0	1.0	10.0	12.0
CHB_UGT2B7	0.0	3.0	3.0	0.0	11.0	5.0	6.0	4.0	2.0	1.0
CHB_VKORC1	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CHS_CALU	0.0	0.0	10.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
CHS_CYP4F2	20.0	30.0	0.0	1.0	1.0	3.0	14.0	3.0	19.0	13.0
CHS_DRD2	0.0	0.0	0.0	0.0	0.0	0.0	1.0	7.0	0.0	0.0
CHS_GGCX	2.0	3.0	3.0	10.0	12.0	10.0	2.0	1.0	1.0	2.0
CHS_OPRM1	0.0	0.0	0.0	0.0	4.0	12.0	2.0	0.0	0.0	3.0
CHS_UGT2B7	0.0	2.0	2.0	0.0	8.0	3.0	6.0	3.0	1.0	1.0
EAS_CALU	24.0	0.0	20.0	2.0	0.0	0.0	0.0	0.0	1.0	24.0
EAS_CYP2C9	15.0	3.0	1.0	0.0	0.0	0.0	2.0	14.0	0.0	17.0
EAS_CYP4F2	34.0	33.0	0.0	2.0	1.0	4.0	14.0	3.0	20.0	29.0
EAS_DRD2	0.0	0.0	0.0	0.0	0.0	0.0	1.0	7.0	0.0	0.0
EAS_GGCX	2.0	3.0	5.0	13.0	14.0	23.0	2.0	1.0	2.0	4.0
EAS_OPRM1	15.0	9.0	17.0	22.0	10.0	18.0	18.0	12.0	10.0	13.0
EAS_UGT2B7	5.0	12.0	9.0	2.0	11.0	5.0	6.0	4.0	2.0	1.0
EAS_VKORC1	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ESN_CALU	24.0	0.0	10.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
ESN_CYP2C9	0.0	0.0	4.0	12.0	6.0	23.0	4.0	15.0	15.0	5.0
ESN_CYP2D6	0.0	0.0	32.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
ESN_CYP4F2	20.0	44.0	15.0	14.0	2.0	3.0	15.0	2.0	6.0	46.0
ESN_DRD2	0.0	0.0	0.0	0.0	0.0	0.0	17.0	15.0	0.0	0.0
ESN_GGCX	2.0	3.0	5.0	13.0	14.0	23.0	2.0	1.0	2.0	4.0
ESN_OPRM1	16.0	2.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	5.0
ESN_UGT2B7	0.0	3.0	4.0	0.0	14.0	8.0	14.0	10.0	2.0	3.0
ESN_VKORC1	0.0	0.0	0.0	1.0	0.0	0.0	1.0	2.0	0.0	5.0
EUR_CALU	24.0	0.0	10.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
EUR_CYP2C9	0.0	0.0	9.0	5.0	1.0	1.0	2.0	14.0	1.0	17.0
EUR_CYP2D6	0.0	0.0	2.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0
EUR_CYP4F2	39.0	30.0	1.0	14.0	2.0	3.0	14.0	3.0	20.0	46.0
EUR_DRD2	0.0	0.0	0.0	15.0	1.0	0.0	2.0	31.0	0.0	1.0
EUR_GGCX	9.0	14.0	6.0	13.0	17.0	27.0	22.0	15.0	6.0	6.0
EUR_OPRM1	33.0	5.0	20.0	4.0	12.0	3.0	0.0	0.0	14.0	15.0
EUR_UGT2B7	0.0	3.0	9.0	2.0	15.0	10.0	18.0	10.0	3.0	4.0
EUR_VKORC1	11.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FIN_CALU	0.0	0.0	10.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
FIN_CYP2C9	0.0	0.0	0.0	0.0	0.0	0.0	2.0	14.0	0.0	17.0
FIN_CYP4F2	20.0	30.0	1.0	14.0	2.0	3.0	14.0	3.0	19.0	13.0
FIN_DRD2	0.0	0.0	0.0	0.0	0.0	0.0	1.0	23.0	0.0	0.0
FIN_GGCX	2.0	3.0	5.0	13.0	16.0	27.0	16.0	1.0	2.0	4.0
FIN_OPRM1	7.0	4.0	18.0	3.0	11.0	3.0	0.0	0.0	1.0	10.0
FIN_UGT2B7	0.0	3.0	2.0	0.0	14.0	3.0	13.0	4.0	1.0	2.0
FIN_VKORC1	11.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GBR_CALU	24.0	0.0	10.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
GBR_CYP2C9	0.0	0.0	0.0	0.0	0.0	0.0	2.0	14.0	0.0	17.0
GBR_CYP4F2	20.0	30.0	0.0	1.0	1.0	3.0	14.0	3.0	20.0	46.0
GBR_DRD2	0.0	0.0	0.0	8.0	0.0	0.0	1.0	16.0	0.0	0.0
GBR_GGCX	9.0	14.0	6.0	13.0	17.0	27.0	22.0	15.0	6.0	6.0
GBR_OPRM1	21.0	4.0	4.0	0.0	1.0	1.0	0.0	0.0	13.0	9.0
GBR_UGT2B7	0.0	2.0	7.0	2.0	9.0	5.0	10.0	3.0	2.0	2.0
GIH_CALU	24.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GIH_CYP2C9	0.0	0.0	9.0	5.0	1.0	1.0	2.0	14.0	1.0	17.0
GIH_CYP4F2	20.0	30.0	0.0	1.0	1.0	3.0	14.0	3.0	19.0	13.0
GIH_DRD2	0.0	0.0	0.0	8.0	0.0	0.0	2.0	23.0	0.0	0.0
GIH_GGCX	0.0	0.0	2.0	3.0	2.0	13.0	0.0	0.0	1.0	2.0
GIH_OPRM1	7.0	4.0	3.0	0.0	0.0	1.0	0.0	0.0	0.0	3.0
GIH_UGT2B7	0.0	3.0	7.0	2.0	14.0	3.0	14.0	8.0	2.0	2.0
GWD_CALU	24.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GWD_CYP2C9	0.0	0.0	2.0	0.0	0.0	1.0	16.0	15.0	14.0	3.0
GWD_CYP4F2	2.0	30.0	15.0	14.0	2.0	2.0	16.0	2.0	22.0	14.0
GWD_DRD2	0.0	0.0	0.0	0.0	0.0	0.0	1.0	7.0	0.0	0.0
GWD_GGCX	2.0	3.0	3.0	10.0	12.0	10.0	2.0	1.0	1.0	2.0
GWD_OPRM1	2.0	0.0	0.0	0.0	0.0	1.0	9.0	0.0	0.0	4.0
GWD_UGT2B7	1.0	9.0	9.0	7.0	20.0	4.0	14.0	5.0	1.0	2.0
GWD_VKORC1	0.0	0.0	0.0	1.0	1.0	0.0	1.0	2.0	0.0	5.0
