# This file was produced by samtools stats (1.23+htslib-1.23) and can be plotted using plot-bamstats
# This file contains statistics for all reads.
# The command line was:  stats data/SAS/ITU/HG03723/aligned/HG03723.bam
# CHK, Checksum	[2]Read Names	[3]Sequences	[4]Qualities
# CHK, CRC32 of reads which passed filtering followed by addition (32bit overflow)
CHK	05bc82bd	50070ee2	b8ee4fe1
# Summary Numbers. Use `grep ^SN | cut -f 2-` to extract this part.
SN	raw total sequences:	62165860	# excluding supplementary and secondary reads
SN	filtered sequences:	0
SN	sequences:	62165860
SN	is sorted:	1	# sorted by coordinate
SN	1st fragments:	31082930
SN	last fragments:	31082930
SN	reads mapped:	62162948
SN	reads mapped and paired:	62161856	# paired-end technology bit set + both mates mapped
SN	reads unmapped:	2912
SN	reads properly paired:	61953578	# proper-pair bit set
SN	reads paired:	62165860	# paired-end technology bit set
SN	reads duplicated:	0	# PCR or optical duplicate bit set
SN	reads MQ0:	5139025	# mapped and MQ=0
SN	reads QC failed:	0
SN	non-primary alignments:	0
SN	supplementary alignments:	44751
SN	total length:	6212665528	# ignores clipping
SN	total first fragment length:	3106332764	# ignores clipping
SN	total last fragment length:	3106332764	# ignores clipping
SN	bases mapped:	6212382514	# ignores clipping
SN	bases mapped (cigar):	6202837130	# more accurate
SN	bases trimmed:	0
SN	bases duplicated:	0
SN	mismatches:	22445236	# from NM fields
SN	error rate:	3.618544e-03	# mismatches / bases mapped (cigar)
SN	average length:	100
SN	average first fragment length:	100
SN	average last fragment length:	100
SN	maximum length:	100
SN	maximum first fragment length:	100
SN	maximum last fragment length:	100
SN	average quality:	34.8
SN	insert size average:	226.9
SN	insert size standard deviation:	74.0
SN	inward oriented pairs:	31003080
SN	outward oriented pairs:	5281
SN	pairs with other orientation:	4590
SN	pairs on different chromosomes:	67977
SN	percentage of properly paired reads (%):	99.7
# First Fragment Qualities. Use `grep ^FFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
FFQ	53	0	0	338	0	0	3964	18763	51376	68656	64718	3226	6240	15692	35944	31924	48121	13016	24729	69501	64567	56735	45976	82779	169852	244173	43527	247289	231545	294751	276884	492422	644069	472464	1086667	1109450	1680831	1400395	1856808	3227494	3002788	6061102	7819395	0
FFQ	54	0	0	379	0	0	4411	20211	55946	74835	61247	3561	7081	16725	39798	34041	43883	13197	25704	73454	66274	61326	47224	90578	179310	241067	40245	264139	232691	321966	289557	481970	672341	496977	1092096	1179701	1725816	1448460	1891011	3201461	3015880	5956709	7596453	0
FFQ	55	0	0	428	0	0	5072	21863	61586	82905	58368	3880	8087	16529	45803	38277	41178	13346	28162	78189	68550	65602	52766	100872	194659	161931	119154	285865	232921	359018	306229	479996	707410	524432	1091701	1266189	1774751	1505376	1829407	3276688	3027434	5819526	7313088	0
FFQ	56	0	0	2908	0	0	5408	23074	65759	89217	53614	4392	8889	17396	50119	40171	37603	13604	29432	82704	69455	71219	55053	109456	203094	153071	121195	305461	233050	389208	320154	471198	738619	550237	1097304	1342913	1825214	1559788	1870732	3248714	3055958	5695947	7055406	0
FFQ	57	0	0	759	0	0	6124	24062	69272	95421	48371	4834	10283	19524	54964	41104	34408	14005	30500	86936	69105	77309	57194	119115	211149	144462	123678	322677	232237	419877	334959	463707	771118	580202	1099929	1427810	1881566	1612266	1905307	3215412	3079171	5565798	6811594	0
FFQ	58	0	0	619	0	0	6494	24830	72726	102256	41938	5359	10980	19029	58516	41274	30482	14182	31799	91375	69396	83471	59501	128638	217663	134718	128232	342791	230645	444619	351438	457055	801029	606597	1098201	1509194	1947124	1671178	1940609	3172895	3098001	5432981	6587876	0
FFQ	59	0	0	3185	0	0	7182	25992	77969	110697	37209	5986	11932	19272	63430	39194	27732	14577	32507	100347	70302	81595	59003	152738	207573	121634	129566	392299	231803	474614	370735	454505	838332	638181	1103547	1598961	2019106	1738103	1972628	3138191	3066796	5277883	6349867	0
FFQ	60	0	0	4196	0	0	7755	27474	84575	121482	32422	6682	13379	21129	68582	39479	26222	15207	34719	107868	71838	88228	61856	165567	211579	116231	137323	419616	233509	503159	394467	453844	878648	673817	1110837	1692486	2094457	1806300	2001129	3090798	3083910	5110489	6053380	0
FFQ	61	0	0	9265	0	0	8377	27370	87789	125060	25784	7382	14959	22931	72353	38347	24607	14993	35442	112179	69553	94609	64279	177557	212333	109774	140754	442336	228545	527361	410613	459721	913526	705119	1110838	1782138	2184161	1871137	2044571	3032554	3123590	4945290	5786930	0
FFQ	62	0	0	16359	0	0	9286	28339	94361	133804	21365	8120	16515	23308	76812	37557	23564	15502	37043	120813	70289	102741	67408	192474	211802	105773	149071	471623	229320	549757	433515	466645	953998	742081	1119412	1880818	2277178	1941771	2075846	2971293	3141114	4749457	5497501	0
