# This file was produced by samtools stats (1.23+htslib-1.23) and can be plotted using plot-bamstats
# This file contains statistics for all reads.
# The command line was:  stats data/AFR/ESN/HG03303/aligned/HG03303.bam
# CHK, Checksum	[2]Read Names	[3]Sequences	[4]Qualities
# CHK, CRC32 of reads which passed filtering followed by addition (32bit overflow)
CHK	66b84639	bca936e2	95dd5a6c
# Summary Numbers. Use `grep ^SN | cut -f 2-` to extract this part.
SN	raw total sequences:	63790844	# excluding supplementary and secondary reads
SN	filtered sequences:	0
SN	sequences:	63790844
SN	is sorted:	1	# sorted by coordinate
SN	1st fragments:	31895422
SN	last fragments:	31895422
SN	reads mapped:	63770129
SN	reads mapped and paired:	63767904	# paired-end technology bit set + both mates mapped
SN	reads unmapped:	20715
SN	reads properly paired:	63230316	# proper-pair bit set
SN	reads paired:	63790844	# paired-end technology bit set
SN	reads duplicated:	0	# PCR or optical duplicate bit set
SN	reads MQ0:	5203072	# mapped and MQ=0
SN	reads QC failed:	0
SN	non-primary alignments:	0
SN	supplementary alignments:	82571
SN	total length:	6374097336	# ignores clipping
SN	total first fragment length:	3187048668	# ignores clipping
SN	total last fragment length:	3187048668	# ignores clipping
SN	bases mapped:	6372034412	# ignores clipping
SN	bases mapped (cigar):	6364309348	# more accurate
SN	bases trimmed:	0
SN	bases duplicated:	0
SN	mismatches:	24092966	# from NM fields
SN	error rate:	3.785637e-03	# mismatches / bases mapped (cigar)
SN	average length:	100
SN	average first fragment length:	100
SN	average last fragment length:	100
SN	maximum length:	100
SN	maximum first fragment length:	100
SN	maximum last fragment length:	100
SN	average quality:	35.1
SN	insert size average:	223.3
SN	insert size standard deviation:	69.4
SN	inward oriented pairs:	31640494
SN	outward oriented pairs:	9878
SN	pairs with other orientation:	10438
SN	pairs on different chromosomes:	223142
SN	percentage of properly paired reads (%):	99.1
# First Fragment Qualities. Use `grep ^FFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
FFQ	57	0	0	345	0	0	4985	21997	66476	92593	47560	5530	11464	20532	66658	45106	37225	13170	29700	83400	66670	84081	63393	132543	241857	158531	117031	350955	237894	469797	335704	516764	810033	613081	1165560	1440233	2005151	1623552	2019837	3040479	3096891	5283564	7457191	0
FFQ	58	0	0	373	0	0	5479	23139	70290	99185	42102	5897	12271	20757	70635	45013	32505	13288	31041	87788	66633	88479	64840	142612	246828	145599	120902	367688	236228	496932	350809	502714	839529	639700	1155327	1518673	2072957	1681338	2048277	2984878	3109164	5155667	7281452	0
FFQ	59	0	0	407	0	0	5824	23527	73062	104387	35884	6453	13439	21724	75246	42911	28998	13172	31807	94899	66460	87185	64099	165903	235271	129010	119736	416002	233106	527558	367122	493706	869768	670030	1150775	1601067	2148047	1743080	2085358	2927123	3100432	5002384	7101440	0
FFQ	60	0	0	442	0	0	6281	23457	75274	108978	29760	6927	14395	21494	78044	40862	25541	13265	31894	98045	65030	91978	65669	175769	233811	119315	123811	433893	228040	548676	382963	484712	899956	696608	1143065	1686704	2239897	1811062	2118298	2871737	3143355	4870271	6866536	0
FFQ	61	0	0	3295	0	0	6592	22821	76298	110287	23411	7513	15520	21709	81768	38932	23533	13177	32692	101207	63151	96793	66814	187647	231013	109403	126419	452404	222660	568423	396741	480551	926777	725831	1138024	1764603	2339533	1877307	2156806	2799634	3185916	4715043	6664934	0
FFQ	62	0	0	7839	0	0	7065	23685	81014	117487	18843	8110	16461	21898	84182	37174	22211	13412	34212	107160	62841	102426	69654	199385	226847	103023	132511	478091	221596	587093	418985	481653	961411	759350	1132130	1852265	2448327	1954203	2192522	2734753	3213415	4548368	6392921	0
FFQ	63	0	0	14164	0	0	7608	23808	84005	120670	14610	8887	17938	21889	88086	34828	21152	13208	34974	112135	60786	108857	71516	211790	221054	97889	136862	499740	216878	602314	437537	488559	991558	791276	1132294	1937605	2574273	2028508	2232260	2653954	3261432	4372028	6126950	0
FFQ	64	0	0	22189	0	0	8189	23383	87800	122944	10699	9530	18993	21680	90010	32948	21045	13257	36292	117852	59329	115080	73417	222833	213607	95147	142961	523525	214314	612313	459651	498822	1020502	826232	1135658	2027233	2713519	2106344	2272868	2573115	3303487	4182390	5844064	0
FFQ	65	0	0	32108	0	0	8716	23438	89969	123710	7350	10354	20010	21846	90662	31019	18374	15909	37195	106032	74682	120170	76361	219160	218933	93143	148575	539126	185269	611771	514642	513677	1050019	861427	1139135	2114974	2871414	2191633	2315224	2484742	3347856	3993832	5550091	0
FFQ	66	0	0	44002	0	0	9203	23057	94108	125105	4852	11057	21648	22039	92696	28969	18564	16091	38202	110851	73754	126454	78521	230760	211908	92286	154877	563012	181067	615481	541292	535867	1078068	893973	1147810	2202924	3039686	2276916	2362569	2386724	3389799	3784942	5242735	0
